text	category	wavName
sales part	NOUN_SINGULAR	
say	VERB_PRESENT	
second	ENUMERATION	
see	VERB_PRESENT	
see here thats your company	FIXED_PHRASE
send	VERB_PRESENT	
shared folders	NOUN_PLURAL	
shared folders	NOUN_PLURAL	shared folders2
show	NOUN_SINGULAR	
show	VERB_PRESENT	
slides	NOUN_PLURAL	
so	COUGH	
so lets have a look	FIXED_PHRASE	
some meeting	NOUN_SINGULAR	
something	NOUN_SINGULAR	
start	VERB_PRESENT
storyline	NOUN_SINGULAR	
strategy	NOUN_SINGULAR	
sub task	NOUN_SINGULAR	
ten	NUMBER	
that	DEMONSTRATION	
that uhm	COUGH	
thats	DEMONSTRATION	
thats why we introduce	FIXED_PHRASE	
the	FIXED_PHRASE	the
the	FIXED_PHRASE	the2
the	FIXED_PHRASE	the3
the	THE	the
the	THE	the2
the	THE	the3
the	THE	the4
there is a	DEMONSTRATION	
these	DEMONSTRATION	
they need	FIXED_PHRASE	
think	VERB_PRESENT	
third	ENUMERATION	
this department	NOUN_SINGULAR	
thousands of	NUMBER	
three	NUMBER	
to	FIXED_PHRASE	
to	FIXED_PHRASE	to2
to	TO	
to	TO	to2
to me	FIXED_PHRASE		
uhm	COUGH	
understood	VERB_PAST	
users	NOUN_PLURAL	
very important	ADJECTIVE	
very very huge	ADJECTIVE	
viadesk	NOUN_SINGULAR	
we	PRONOUN	
we	PRONOUN	we2
we are here to	FIXED_PHRASE	
we think there is a	FIXED_PHRASE	
we understood	FIXED_PHRASE	
we understood	FIXED_PHRASE	we understood2
we use this	FIXED_PHRASE	
what	WHAT	
whats it	FIXED_PHRASE	
when you see it	FIXED_PHRASE	
why	FIXED_PHRASE	
write	VERB_PRESENT	
you	PRONOUN	
you	PRONOUN	you2
you will find	FIXED_PHRASE	
your	POSSESSIVE	
your	POSSESSIVE	your2
äh... 	COUGH	aeh
